epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6121,4.44868,5.53216,4.12723,0.00012,0.00761,8e-05,2e-05,4.68159,4.56156,4.01366,0.000236632,0.000236632,0.000236632
2,66.5182,3.98417,5.17104,3.68548,0.50897,0.02071,0.00605,0.0016,3.81368,4.25773,3.4625,0.000469933,0.000469933,0.000469933
3,97.8497,3.57821,4.86435,3.37081,0.0024,0.14495,0.0031,0.00082,3.49068,5.11703,3.16526,0.000698522,0.000698522,0.000698522
4,129.655,3.29815,4.59298,3.11,0.26864,0.06591,0.03063,0.01043,3.10621,3.55909,2.78671,0.000692794,0.000692794,0.000692794
5,161.089,3.1786,4.20691,2.83068,0.27916,0.12887,0.0529,0.01798,2.97115,3.33263,2.70696,0.000685726,0.000685726,0.000685726
6,192.354,2.9427,3.95642,2.72983,0.48914,0.14847,0.10361,0.04311,2.77964,3.24535,2.48689,0.000678657,0.000678657,0.000678657
7,223.535,2.85645,3.74466,2.6021,0.20473,0.19889,0.12006,0.04715,2.70334,3.17605,2.40952,0.000671588,0.000671588,0.000671588
8,254.685,2.78953,3.55157,2.45627,0.40989,0.17393,0.18393,0.07955,2.6164,2.78556,2.29366,0.00066452,0.00066452,0.00066452
9,285.813,2.67923,3.32577,2.36856,0.53801,0.23149,0.22541,0.10413,2.44952,2.61978,2.21623,0.000657451,0.000657451,0.000657451
10,317.289,2.6743,3.22507,2.29839,0.3221,0.28042,0.23091,0.10757,2.48088,2.62251,2.16592,0.000650383,0.000650383,0.000650383
11,348.858,2.5647,3.05191,2.20346,0.57935,0.30108,0.29232,0.13954,2.29789,2.34009,2.07657,0.000643314,0.000643314,0.000643314
12,380.456,2.47906,2.95872,2.20046,0.39728,0.30273,0.30079,0.14144,2.36413,2.27533,2.05754,0.000636245,0.000636245,0.000636245
13,411.486,2.46953,2.79963,2.09101,0.41045,0.33268,0.31739,0.15781,2.25978,2.24843,2.00939,0.000629177,0.000629177,0.000629177
14,442.985,2.35442,2.70308,2.04459,0.40103,0.36666,0.33251,0.16863,2.15191,2.146,1.93262,0.000622108,0.000622108,0.000622108
15,474.1,2.37217,2.68937,2.05854,0.54141,0.3536,0.37519,0.18422,2.10227,2.00579,1.90514,0.00061504,0.00061504,0.00061504
16,505.393,2.31244,2.49777,1.99297,0.36461,0.37945,0.38954,0.19128,2.11014,2.03169,1.8954,0.000607971,0.000607971,0.000607971
17,537.083,2.30479,2.55893,1.98282,0.57314,0.39544,0.42265,0.21183,2.07347,1.9047,1.86581,0.000600902,0.000600902,0.000600902
18,568.614,2.23689,2.43492,1.99237,0.59702,0.35798,0.41776,0.204,2.01299,1.89497,1.81821,0.000593834,0.000593834,0.000593834
19,600.202,2.2147,2.39656,1.91709,0.43723,0.44451,0.43273,0.21903,1.96662,1.81414,1.78295,0.000586765,0.000586765,0.000586765
20,631.632,2.12463,2.25098,1.83014,0.60212,0.41387,0.43401,0.22361,2.00147,1.75067,1.80715,0.000579697,0.000579697,0.000579697
21,663.27,2.13213,2.30215,1.87786,0.51953,0.45433,0.45882,0.23707,1.95754,1.75181,1.77308,0.000572628,0.000572628,0.000572628
22,694.966,2.09352,2.19694,1.80489,0.5802,0.45098,0.46413,0.25009,1.90251,1.70976,1.72377,0.000565559,0.000565559,0.000565559
23,726.762,2.07604,2.11015,1.78408,0.6716,0.43065,0.47567,0.24515,1.92607,1.71922,1.73796,0.000558491,0.000558491,0.000558491
24,758.608,2.11677,2.14163,1.78495,0.64592,0.4746,0.491,0.26402,1.88238,1.6974,1.6986,0.000551422,0.000551422,0.000551422
25,790.182,2.068,2.11357,1.82755,0.47483,0.53277,0.47908,0.25364,1.89046,1.65779,1.70228,0.000544354,0.000544354,0.000544354
26,821.697,1.99555,1.97314,1.72505,0.65645,0.48343,0.51113,0.27605,1.85561,1.58454,1.67246,0.000537285,0.000537285,0.000537285
27,853.388,2.01623,1.99531,1.75328,0.58422,0.52047,0.52414,0.28127,1.83475,1.48414,1.64212,0.000530216,0.000530216,0.000530216
28,884.783,1.96693,1.92411,1.70374,0.53534,0.54782,0.53302,0.28232,1.83276,1.54931,1.64908,0.000523148,0.000523148,0.000523148
29,916.318,1.97737,1.96159,1.7123,0.56617,0.53209,0.53282,0.29095,1.77724,1.54979,1.61881,0.000516079,0.000516079,0.000516079
30,947.842,1.94846,1.92368,1.7003,0.61956,0.55688,0.56185,0.29522,1.77743,1.50828,1.61259,0.000509011,0.000509011,0.000509011
31,979.218,1.88225,1.77616,1.64179,0.58052,0.58563,0.57118,0.30295,1.78334,1.4229,1.60323,0.000501942,0.000501942,0.000501942
32,1010.82,1.91974,1.83755,1.66001,0.54841,0.57138,0.54569,0.29561,1.75832,1.49465,1.59901,0.000494873,0.000494873,0.000494873
33,1042.36,1.88955,1.81777,1.66998,0.61699,0.54357,0.57085,0.29071,1.79123,1.40634,1.6054,0.000487805,0.000487805,0.000487805
34,1073.85,1.85412,1.76833,1.60578,0.60888,0.54974,0.5715,0.31095,1.74046,1.39707,1.578,0.000480736,0.000480736,0.000480736
35,1105.31,1.86688,1.72801,1.62717,0.66704,0.53013,0.57661,0.31441,1.72195,1.36583,1.57497,0.000473668,0.000473668,0.000473668
36,1136.8,1.87155,1.75059,1.61113,0.63451,0.58432,0.60326,0.32064,1.72712,1.37006,1.57516,0.000466599,0.000466599,0.000466599
37,1168.09,1.80124,1.65362,1.59674,0.63143,0.56301,0.58694,0.3207,1.75399,1.41382,1.57631,0.00045953,0.00045953,0.00045953
38,1199.5,1.86755,1.73297,1.63532,0.6335,0.58663,0.60898,0.33074,1.71045,1.36217,1.5535,0.000452462,0.000452462,0.000452462
39,1230.82,1.78365,1.59761,1.54876,0.57424,0.59431,0.6025,0.32516,1.70751,1.36614,1.55548,0.000445393,0.000445393,0.000445393
40,1262.26,1.81335,1.67266,1.62931,0.65197,0.58816,0.61817,0.33403,1.66149,1.32591,1.53576,0.000438325,0.000438325,0.000438325
41,1293.72,1.79498,1.574,1.54645,0.65363,0.6227,0.63213,0.3438,1.65825,1.33068,1.51548,0.000431256,0.000431256,0.000431256
42,1325.3,1.80492,1.63008,1.57262,0.65788,0.59021,0.61443,0.32668,1.7179,1.28103,1.54589,0.000424187,0.000424187,0.000424187
43,1356.61,1.75945,1.56779,1.53148,0.69812,0.60275,0.62486,0.34765,1.63841,1.31813,1.49432,0.000417119,0.000417119,0.000417119
44,1388.06,1.72079,1.51573,1.52758,0.61395,0.63116,0.62834,0.3439,1.6437,1.29662,1.49878,0.00041005,0.00041005,0.00041005
45,1419.55,1.72124,1.52072,1.53105,0.64711,0.61609,0.61941,0.34481,1.69131,1.24032,1.53506,0.000402982,0.000402982,0.000402982
46,1451.04,1.74413,1.54429,1.55263,0.68686,0.58669,0.64347,0.3483,1.67548,1.33053,1.52079,0.000395913,0.000395913,0.000395913
47,1482.49,1.74387,1.54577,1.54707,0.64998,0.58861,0.61998,0.34399,1.67399,1.28193,1.51227,0.000388844,0.000388844,0.000388844
48,1514,1.71938,1.45663,1.48409,0.65152,0.6197,0.63897,0.35103,1.68351,1.24157,1.51798,0.000381776,0.000381776,0.000381776
49,1545.5,1.7732,1.51617,1.53715,0.67437,0.62753,0.64042,0.35429,1.65974,1.30472,1.50068,0.000374707,0.000374707,0.000374707
50,1577.03,1.7103,1.49409,1.50275,0.6568,0.63871,0.63362,0.35493,1.6705,1.26306,1.50796,0.000367639,0.000367639,0.000367639
51,1608.34,1.73318,1.49369,1.5028,0.69494,0.65023,0.64357,0.36037,1.62018,1.23637,1.48421,0.00036057,0.00036057,0.00036057
52,1639.75,1.68083,1.44784,1.47664,0.66147,0.65725,0.64363,0.36478,1.64481,1.26805,1.48888,0.000353501,0.000353501,0.000353501
53,1671.15,1.67034,1.42272,1.52192,0.63393,0.62009,0.62304,0.34962,1.63981,1.22638,1.49753,0.000346433,0.000346433,0.000346433
54,1702.41,1.69909,1.44791,1.50095,0.66888,0.64685,0.64233,0.35999,1.62949,1.21946,1.48695,0.000339364,0.000339364,0.000339364
55,1733.93,1.70238,1.41838,1.50615,0.68151,0.62993,0.64662,0.36304,1.62074,1.21547,1.47818,0.000332296,0.000332296,0.000332296
56,1765.37,1.71468,1.47761,1.49301,0.67824,0.64351,0.66269,0.36423,1.66206,1.22529,1.49703,0.000325227,0.000325227,0.000325227
57,1796.88,1.63879,1.40042,1.4725,0.6817,0.66987,0.66537,0.3726,1.62152,1.29284,1.48185,0.000318158,0.000318158,0.000318158
58,1828.06,1.64085,1.35931,1.46595,0.67341,0.65419,0.68323,0.3827,1.61603,1.14545,1.46805,0.00031109,0.00031109,0.00031109
59,1859.39,1.62927,1.36492,1.47324,0.66775,0.63624,0.65943,0.37285,1.61165,1.22282,1.47233,0.000304021,0.000304021,0.000304021
60,1890.74,1.69441,1.39674,1.46503,0.72837,0.6275,0.66601,0.37494,1.60943,1.19938,1.46719,0.000296953,0.000296953,0.000296953
61,1921.97,1.65532,1.35499,1.46356,0.70916,0.63714,0.66266,0.37176,1.62081,1.20475,1.4785,0.000289884,0.000289884,0.000289884
